,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
13,Bob,564.52.00,−782.16.00,2133.06.00,−372.42.00,−388.28.00,surströmming,1369.20.00,−1011.24.00,6714.53.00,−90813.43.00,TRUE,FALSE,443.22.00
14,Atsuto,38.53.00,89.17.00,1099.36.00,−1100.39.00,196.25.00,mustard silt,298.29.00,−272.58.00,6818.03.00,−90021.36.00,FALSE,FALSE,1111.03.00
15,Atsuto,1109.17.00,−1137.51.00,1891.12.00,−1716.10.00,−1170.44.00,surströmming,−706.57.00,215.10.00,5889.44.00,−89630.58.00,TRUE,FALSE,893.00.00
16,Jorg,194.13.00,128.24.00,2101.05.00,−1302.46.00,282.29.00,mustard silt,−418.31.00,−1091.18.00,5803.33.00,−90802.42.00,FALSE,FALSE,217.10.00
17,Atsuto,709.30.00,−451.42.00,2361.58.00,−1242.19.00,−1660.00.00,surströmming,−330.17.00,−33.10.00,5589.38.00,−90702.43.00,FALSE,FALSE,1126.58.00
18,Bob,1415.45.00,513.43.00,1882.11.00,−1393.37.00,1130.10.00,mustard silt,847.17.00,−892.01.00,6079.05.00,−89357.50.00,TRUE,FALSE,−444.50.00
19,Bob,542.56.00,−502.41.00,1691.40.00,−1337.06.00,−1105.53.00,mustard silt,1268.12.00,−820.33.00,5975.19.00,−90350.00.00,TRUE,FALSE,1624.36.00
20,Atsuto,772.24.00,610.27.00,2098.35.00,−1462.15.00,1343.00.00,mustard silt,−1003.10.00,1281.32.00,6467.26.00,−90177.53.00,TRUE,FALSE,−857.00.00
21,Atsuto,442.18.00,−1490.22.00,2568.01.00,−1088.16.00,−1613.09.00,silt med schnapps,−516.33.00,−562.27.00,5979.19.00,−90816.50.00,FALSE,FALSE,1195.11.00
22,Jorg,489.17.00,−693.05.00,1303.26.00,−1042.49.00,−1524.47.00,mustard silt,−973.54.00,634.43.00,5494.00.00,−89325.17.00,FALSE,FALSE,414.02.00
23,Bob,−1345.37.00,1173.07.00,2363.02.00,−963.30.00,1248.20.00,mustard silt,153.44.00,511.36.00,5497.54.00,−89208.48.00,FALSE,FALSE,−1688.17.00
24,Jorg,995.08.00,815.41.00,1069.36.00,−1316.34.00,128.49.00,mustard silt,96.59.00,−71.16.00,6147.45.00,−90322.49.00,TRUE,FALSE,−1061.23.00
25,Bob,675.04.00,1034.16.00,2326.06.00,−595.59.00,609.44.00,mustard silt,442.26.00,142.45.00,6728.34.00,−90003.07.00,TRUE,FALSE,−612.26.00
26,Bob,−303.33.00,557.44.00,2612.27.00,−1709.34.00,1560.09.00,mustard silt,−1391.38.00,404.47.00,6796.53.00,−90661.13.00,TRUE,FALSE,−1095.32.00
27,Jorg,105.39.00,1458.28.00,2562.31.00,−1060.13.00,1542.57.00,mustard silt,−1384.51.00,−622.54.00,6688.57.00,−90740.42.00,FALSE,FALSE,−648.48.00
28,Jorg,596.01.00,935.06.00,2538.30.00,−1679.52.00,391.34.00,mustard silt,−743.07.00,−1286.16.00,6799.02.00,−90242.25.00,TRUE,FALSE,−1127.58.00
29,Jorg,155.09.00,1132.58.00,2261.29.00,−994.54.00,826.52.00,mustard silt,−1172.27.00,−1613.09.00,5510.35.00,−90160.42.00,FALSE,FALSE,−1655.35.00
30,Jorg,432.07.00,−537.45.00,2530.49.00,−1685.53.00,−1183.03.00,curry silt,−684.44.00,−27.29.00,5672.18.00,−89749.38.00,TRUE,FALSE,667.24.00
31,Jorg,422.30.00,1066.01.00,2030.41.00,−405.09.00,679.34.00,mustard silt,−800.13.00,798.19.00,6840.53.00,−90525.43.00,TRUE,FALSE,−63.44.00
32,Bob,1268.33.00,−1039.31.00,2090.40.00,−528.18.00,−621.17.00,surströmming,980.30.00,835.16.00,6916.34.00,−90286.55.00,TRUE,FALSE,627.32.00
33,Jorg,250.30.00,1071.29.00,2084.04.00,−1322.00.00,691.35.00,mustard silt,−1183.11.00,843.21.00,6562.07.00,−89754.04.00,TRUE,FALSE,−308.27.00
34,Jorg,−279.36.00,428.42.00,2376.26.00,−1600.26.00,1609.25.00,mustard silt,−323.59.00,1255.16.00,6374.11.00,−89915.56.00,TRUE,FALSE,−1682.03.00
35,Atsuto,−237.09.00,77.44.00,2274.56.00,−1366.53.00,504.10.00,mustard silt,−283.22.00,1647.09.00,6352.53.00,−90742.23.00,TRUE,FALSE,−1275.42.00
36,Jorg,1452.02.00,−1419.14.00,1584.13.00,−1523.44.00,−124.07.00,surströmming,−201.55.00,1354.51.00,6269.09.00,−90769.22.00,FALSE,FALSE,1220.18.00
37,Jorg,398.31.00,−522.25.00,1843.40.00,−387.07.00,−1149.20.00,surströmming,1105.57.00,1217.54.00,6513.54.00,−89859.22.00,TRUE,FALSE,309.59.00
38,Bob,319.14.00,944.33.00,1556.20.00,−782.15.00,412.20.00,mu,,,,,,,
stard silt,260.04.00,−1387.55.00,6321.12.00,−90000.46.00,FALSE,FALSE,−1299.38.00,,,,,,,
39,Bob,673.20.00,1268.15.00,1265.58.00,−1631.21.00,1124.29.00,mustard silt,−188.13.00,−997.04.00,6332.51.00,−90298.32.00,TRUE,FALSE,−396.28.00
40,Bob,−76.32.00,1300.56.00,1626.06.00,−1747.00.00,1196.23.00,mustard silt,686.22.00,−1538.19.00,6840.09.00,−90647.39.00,TRUE,FALSE,−232.17.00
41,Atsuto,1265.59.00,318.54.00,2075.24.00,−1555.18.00,701.34.00,mustard silt,−314.07.00,1071.32.00,7113.05.00,−90086.06.00,TRUE,FALSE,−1174.08.00
42,Jorg,839.24.00,−952.56.00,2471.19.00,−205.02.00,−430.47.00,surströmming,−485.23.00,−524.50.00,6741.54.00,−89210.29.00,TRUE,FALSE,1013.54.00
43,Atsuto,18.36,1313.06.00,1803.02.00,−1733.29.00,1223.10.00,mustard silt,−97.57.00,802.45.00,7056.23.00,−90765.25.00,TRUE,FALSE,−384.00.00
44,Atsuto,326.14.00,133.42.00,1034.21.00,−1284.42.00,627.16.00,mustard silt,382.47.00,−650.12.00,6953.59.00,−90626.30.00,TRUE,FALSE,−1210.26.00
45,Bob,427.16.00,−441.58.00,1726.56.00,−1681.02.00,−972.19.00,mustard silt,−1266.06.00,−102.19.00,6497.52.00,−89681.26.00,TRUE,FALSE,856.20.00
46,Jorg,−580.07.00,509.33.00,1851.27.00,−412.41.00,121.37.00,mustard silt,−521.19.00,201.37.00,5625.30.00,−89893.13.00,TRUE,FALSE,−313.41.00
47,Bob,886.10.00,759.46.00,1596.20.00,−681.50.00,05.48,silt med schnapps,360.44.00,1345.05.00,5491.51.00,−89415.23.00,TRUE,FALSE,−416.53.00
48,Bob,1391.10.00,−1557.47.00,1016.53.00,−1720.46.00,−95.48.00,surströmming,1206.23.00,415.56.00,5946.50.00,−90813.36.00,TRUE,FALSE,391.38.00
49,Jorg,678.51.00,−477.22.00,2533.33.00,−1061.11.00,−1383.21.00,surströmming,106.52.00,1334.34.00,5957.49.00,−90321.48.00,FALSE,FALSE,1346.08.00
50,Bob,−388.26.00,185.32.00,1913.17.00,−1494.11.00,741.17.00,mustard silt,1584.51.00,−1345.30.00,5657.43.00,−90240.08.00,TRUE,FALSE,−692.23.00
51,Jorg,1032.44.00,608.25.00,2569.52.00,−765.41.00,1338.30.00,mustard silt,660.08.00,−657.28.00,7107.27.00,−89321.49.00,FALSE,FALSE,−929.57.00
52,Bob,918.06.00,−689.44.00,1731.26.00,−672.00.00,−184.53.00,curry silt,1101.54.00,−50.25.00,6269.27.00,−90171.29.00,FALSE,FALSE,415.08.00
53,Jorg,−575.28.00,216.46.00,1538.48.00,−1418.42.00,810.02.00,mustard silt,−107.52.00,466.41.00,6030.44.00,−89606.17.00,TRUE,FALSE,−237.34.00
54,Jorg,1630.39.00,−1666.38.00,2476.40.00,−1733.32.00,−335.16.00,surströmming,353.51.00,08.52,5527.01.00,−90523.58.00,TRUE,FALSE,602.50.00
55,Jorg,1090.03.00,−1266.58.00,2543.58.00,−784.01.00,−1121.40.00,mexicansk silt,902.56.00,−336.11.00,5883.32.00,−90584.25.00,FALSE,FALSE,257.43.00
56,Atsuto,−930.49.00,412.50.00,1040.22.00,−1166.43.00,1574.30.00,mustard silt,73.25.00,632.45.00,5625.29.00,−90470.40.00,TRUE,FALSE,−764.30.00
57,Atsuto,1175.02.00,175.57.00,2010.25.00,−1446.09.00,387.04.00,mustard silt,580.34.00,−171.59.00,6008.55.00,−90592.56.00,TRUE,FALSE,−757.14.00
58,Jorg,−190.33.00,90.33.00,2628.37.00,−1513.37.00,199.12.00,mustard silt,847.08.00,1658.49.00,6137.06.00,−89883.13.00,TRUE,FALSE,345.12.00
59,Atsuto,−340.19.00,1545.06.00,1090.50.00,−1237.47.00,401.01.00,mustard silt,1174.14.00,−676.06.00,6850.13.00,−90224.55.00,TRUE,FALSE,−1196.12.00
60,Atsuto,247.44.00,−110.35.00,1137.55.00,−1142.31.00,−243.18.00,mustard silt,1436.24.00,1549.33.00,6447.31.00,−89792.11.00,FALSE,FALSE,1578.49.00
61,Jorg,−230.34.00,1631.15.00,2215.53.00,−1048.57.00,257.24.00,mustard silt,−1152.14.00,1418.27.00,6971.10.00,−90619.12.00,FALSE,FALSE,−976.32.00
62,Atsuto,520.52.00,−729.38.00,1669.13.00,−190.39.00,−272.39.00,surströmming,−161.59.00,359.45.00,6215.41.00,−90834.28.00,TRUE,FALSE,1342.59.00
63,Atsuto,1030.59.00,−1193.52.00,2467.34.00,−1543.49.00,−1293.58.00,surströmming,740.15.00,−358.27.00,6567.27.00,−90561.59.00,FALSE,FALSE,596.59.00
64,Bob,1180.49.00,−1169.07.00,1621.39.00,−1336.21.00,−906.23.00,mustard silt,−289.21.00,1174.17.00,5979.54.00,−89433.34.00,TRUE,FALSE,170.46.00
65,Jorg,960.59.00,−1255.03.00,1459.10.00,−1419.24.00,−1095.27.00,mexicansk silt,−805.54.00,1149.16.00,6472.30.00,−89840.54.00,TRUE,FALSE,757.15.00
66,Atsuto,1421.10.00,424.52.00,2174.37.00,−1526.12.00,934.43.00,mustard silt,766.23.00,−674.27.00,5506.56.00,−90090.25.00,TRUE,FALSE,−27.50.00
67,Atsuto,265.02.00,−182.39.00,1208.55.00,−1183.10.00,−734.58.00,surströmming,1275.33.00,313.55.00,6289.17.00,−89594.41.00,FALSE,FALSE,813.18.00
68,Bob,575.22.00,900.55.00,2469.19.00,−599.43.00,316.21.00,mooooostard silt,−284.52.00,176.01.00,6203.21.00,−89395.09.00,TRUE,FALSE,−528.38.00
69,Bob,1176.58.00,−1484.24.00,1769.34.00,−705.10.00,−1600.01.00,mustard silt,−1130.38.00,−544.36.00,6724.47.00,−90616.11.00,FALSE,FALSE,52.14.00
70,Bob,326.59.00,−383.54.00,1552.30.00,−590.48.00,−1177.42.00,surströmming,−1540.49.00,1189.16.00,5616.05.00,−90611.09.00,TRUE,FALSE,1584.31.00
71,Jorg,1400.22.00,330.08.00,2234.50.00,−1713.10.00,726.18.00,mustard silt,−1542.15.00,115.53.00,5484.44.00,−90175.06.00,TRUE,FALSE,−1038.00.00
72,Jorg,433.35.00,−490.03.00,1158.51.00,−1146.16.00,−1411.16.00,surströmming,595.07.00,−88.00.00,6000.54.00,−89255.00.00,FALSE,FALSE,887.53.00
73,Atsuto,73.28.00,1514.01.00,1724.44.00,−1607.55.00,1665.09.00,mustard silt,−988.35.00,−627.19.00,6316.56.00,−89572.51.00,TRUE,FALSE,−1011.04.00
74,Bob,767.58.00,−521.00.00,2611.53.00,−1329.48.00,−1146.12.00,mustard silt,1280.54.00,−1542.58.00,6253.44.00,−90505.20.00,TRUE,FALSE,844.02.00
75,Bob,122.03.00,−303.48.00,2350.41.00,−1215.26.00,−1001.29.00,surströmming,−1523.38.00,976.11.00,5996.40.00,−90836.29.00,FALSE,FALSE,65.23.00
76,Jorg,816.37.00,−1170.10.00,2145.54.00,−238.16.00,−908.42.00,surströmming,704.15.00,653.39.00,5598.28.00,−89256.31.00,TRUE,FALSE,1378.00.00
77,Bob,1398.03.00,129.59.00,1508.00.00,−1571.27.00,285.59.00,mustard silt,629.16.00,−855.13.00,6073.51.00,−90049.36.00,TRUE,FALSE,−684.45.00
78,Atsuto,281.58.00,−1377.13.00,2544.03.00,−1426.47.00,−1364.14.00,surströmming,404.15.00,670.24.00,6980.49.00,−90244.14.00,TRUE,FALSE,1495.22.00
79,Bob,−392.10.00,523.04.00,2319.40.00,−1560.18.00,1483.52.00,mustard silt,−1341.49.00,−1066.25.00,6048.46.00,−89185.17.00,TRUE,FALSE,−675.55.00
80,Jorg,954.39.00,436.41.00,2269.00.00,−1489.59.00,960.42.00,mustard silt,755.47.00,508.16.00,6461.00.00,−90423.43.00,TRUE,FALSE,−1653.05.00
81,Jorg,917.59.00,1039.07.00,2158.37.00,−332.26.00,620.24.00,mustard silt,−1411.06.00,−1411.25.00,6152.09.00,−90398.55.00,TRUE,FALSE,−210.29.00
82,Bob,1256.33.00,610.24.00,1439.04.00,−109.50.00,1342.53.00,mustard silt,−85.08.00,−972.20.00,6563.35.00,−89375.24.00,TRUE,FALSE,−1131.12.00
83,Atsuto,32.28.00,156.47.00,2287.50.00,−1292.32.00,678.04.00,mustard silt,−144.25.00,−934.24.00,6327.48.00,−89665.07.00,TRUE,FALSE,−1113.56.00
84,Jorg,−649.02.00,673.10.00,1012.01.00,−1725.17.00,148.26.00,mustard silt,817.56.00,465.50.00,6709.21.00,−89222.55.00,TRUE,FALSE,−1680.28.00
85,Bob,179.48.00,−127.19.00,1038.42.00,−816.32.00,−613.14.00,silt med onions,1539.29.00,−604.38.00,6261.47.00,−90679.26.00,FALSE,FALSE,1463.47.00
86,Jorg,932.22.00,343.35.00,2294.10.00,−1043.27.00,755.54.00,mustard silt,−442.03.00,288.21.00,5973.07.00,−89664.35.00,FALSE,FALSE,−1088.36.00
87,Atsuto,1354.36.00,436.47.00,1981.21.00,−1434.51.00,960.56.00,mustard silt,−1259.22.00,−918.31.00,6029.41.00,−89627.26.00,TRUE,FALSE,−121.52.00
88,Bob,870.14.00,645.17.00,1250.01.00,−564.27.00,1419.38.00,surströmming,591.41.00,−49.16.00,5976.07.00,−90386.34.00,TRUE,FALSE,−1386.30.00
89,Atsuto,793.43.00,−933.32.00,2321.55.00,−1205.44.00,−388.07.00,silt med onions,−1154.44.00,1059.01.00,6592.44.00,−90276.47.00,FALSE,FALSE,320.42.00
90,Jorg,−155.51.00,470.19.00,1056.48.00,−1609.18.00,1367.50.00,mustard silt,−377.41.00,616.13.00,5715.56.00,−90475.43.00,TRUE,FALSE,−318.57.00
91,Bob,683.39.00,−671.37.00,1299.06.00,−1154.15.00,−1477.33.00,mustard silt,542.54.00,−1225.07.00,6427.31.00,−89933.32.00,FALSE,FALSE,136.01.00
92,Bob,48.48.00,1632.55.00,1204.25.00,−840.07.00,261.04.00,mustard silt,−1579.35.00,431.05.00,5697.46.00,−89898.07.00,FALSE,FALSE,−1672.14.00
93,Jorg,1637.46.00,177.22.00,1140.53.00,−1277.29.00,390.12.00,mustard silt,−635.37.00,1089.40.00,5892.49.00,−90642.22.00,TRUE,FALSE,−541.50.00
94,Atsuto,1120.21.00,−979.24.00,2491.55.00,−1517.30.00,−489.01.00,silt med schnapps,1392.55.00,365.39.00,6488.20.00,−89640.00.00,TRUE,FALSE,80.26.00
95,Jorg,−408.38.00,543.38.00,2589.12.00,−904.29.00,1529.08.00,mustard silt,−405.09.00,−235.34.00,6164.27.00,−90809.50.00,FALSE,FALSE,−1364.41.00
96,Bob,1251.02.00,−860.36.00,1779.23.00,−1659.41.00,−560.48.00,surströmming,665.17.00,−1081.06.00,5485.45.00,−89568.02.00,TRUE,FALSE,428.48.00
97,Bob,1202.56.00,−75.56.00,1377.01.00,−299.12.00,−500.11.00,surströmming,144.22.00,993.14.00,6585.43.00,−90217.06.00,TRUE,FALSE,321.28.00
98,Jorg,−33.06.00,39.40.00,2386.51.00,−1330.38.00,420.24.00,mustard silt,−429.19.00,−187.26.00,6139.49.00,−89869.49.00,TRUE,FALSE,−1011.55.00
99,Atsuto,−15.55.00,1213.44.00,2021.42.00,−1614.32.00,1004.32.00,mustard silt,−419.13.00,491.40.00,5719.53.00,−89875.22.00,TRUE,FALSE,−334.39.00
100,Jorg,277.39.00,−341.51.00,2466.28.00,−886.33.00,−752.05.00,mustard silt,455.52.00,−1555.28.00,6216.08.00,−89546.27.00,FALSE,FALSE,1240.22.00
101,Bob,1097.39.00,−879.23.00,2543.55.00,−586.00.00,−268.58.00,surströmming,−1245.28.00,−1119.34.00,5855.55.00,−89298.35.00,TRUE,FALSE,637.10.00
102,Atsuto,186.13.00,1532.12.00,1294.27.00,−241.25.00,39.30.00,mustard silt,435.30.00,873.27.00,6344.32.00,−89849.28.00,TRUE,FALSE,−586.10.00
103,Atsuto,767.26.00,904.35.00,2097.31.00,−1462.28.00,324.24.00,mustard silt,−100.46.00,−187.35.00,6820.26.00,−90178.31.00,TRUE,FALSE,−1105.35.00
104,Jorg,31.55.00,1381.04.00,1690.06.00,−1631.32.00,1372.42.00,mustard silt,−905.05.00,826.49.00,6683.27.00,−89998.50.00,TRUE,FALSE,−1440.12.00
105,Bob,388.29.00,1529.43.00,1266.06.00,−1593.55.00,34.02.00,mustard silt,47.16.00,−192.19.00,6837.26.00,−89303.29.00,TRUE,FALSE,−1313.55.00
106,Jorg,−371.50.00,284.56.00,1264.15.00,−1160.30.00,959.58.00,mustard silt,−1492.30.00,−1296.46.00,6931.09.00,−90239.23.00,TRUE,FALSE,−1020.12.00
107,Jorg,273.43.00,1046.52.00,1120.34.00,−1090.44.00,637.27.00,mustard silt,1151.14.00,−525.58.00,5619.26.00,−89367.29.00,FALSE,FALSE,−462.17.00
108,Atsuto,1133.29.00,−794.54.00,1346.35.00,−565.38.00,−83.06.00,surströmming,−1470.24.00,−972.25.00,5684.19.00,−90676.46.00,TRUE,FALSE,164.56.00
109,Jorg,1394.23.00,249.15.00,1184.37.00,−1218.53.00,548.20.00,mustard silt,−1503.36.00,1460.18.00,6295.24.00,−89557.21.00,FALSE,FALSE,−1029.07.00
110,Bob,−606.12.00,556.46.00,1497.51.00,−1393.53.00,225.30.00,mustard silt,−30.23.00,−894.17.00,5630.34.00,−90781.27.00,TRUE,FALSE,−962.11.00
111,Atsuto,1576.50.00,−1533.23.00,2151.27.00,−1717.21.00,−42.07.00,surströmming,−279.56.00,47.19.00,5660.50.00,−90548.45.00,TRUE,FALSE,1081.27.00
112,Atsuto,144.29.00,−619.28.00,1038.38.00,−1165.26.00,−1362.50.00,mustard silt,03.00,−448.26.00,6034.09.00,−89669.18.00,FALSE,FALSE,1364.03.00
113,Jorg,123.42.00,−769.57.00,1002.48.00,−689.44.00,−28.13.00,mustard silt,350.23.00,−1324.29.00,6378.37.00,−89615.15.00,FALSE,FALSE,306.12.00
114,Jorg,475.06.00,−317.56.00,2588.15.00,−1453.17.00,−1032.35.00,surströmming,−288.54.00,504.27.00,7133.33.00,−90819.12.00,FALSE,FALSE,1179.46.00
115,Bob,12.34,−1633.38.00,2624.12.00,−1609.20.00,−595.48.00,surströmming,1213.53.00,1357.09.00,6489.57.00,−90574.28.00,TRUE,FALSE,1390.11.00
116,Bob,808.22.00,−655.50.00,2397.52.00,−1289.01.00,−1442.51.00,mexicansk silt,−436.10.00,−1262.45.00,5835.39.00,−90664.21.00,FALSE,FALSE,1091.40.00
117,Bob,912.14.00,−943.13.00,1868.52.00,−1162.41.00,−409.24.00,mustard silt,193.28.00,221.14.00,6153.24.00,−90483.24.00,FALSE,FALSE,190.00.00
118,Bob,1360.27.00,346.59.00,2080.34.00,−1765.06.00,763.21.00,old-fashioned silt,1484.42.00,−344.33.00,6378.27.00,−90120.36.00,TRUE,FALSE,−1444.54.00
119,Atsuto,1008.18.00,346.48.00,1638.15.00,−1680.23.00,762.59.00,curry silt,1237.19.00,−933.43.00,6682.39.00,−90568.44.00,TRUE,FALSE,−951.53.00
120,Bob,1654.37.00,−130.02.00,1157.08.00,−668.02.00,−619.13.00,curry silt,−1372.46.00,680.13.00,7033.21.00,−89247.44.00,FALSE,FALSE,308.47.00
121,Bob,1083.47.00,−1184.58.00,1258.00.00,−880.22.00,−941.15.00,mustard silt,−251.10.00,165.10.00,5494.36.00,−90242.08.00,FALSE,FALSE,134.08.00
122,Jorg,1257.35.00,128.16.00,1765.24.00,−178.19.00,282.12.00,silt med schnapps,101.12.00,292.19.00,6869.18.00,−90197.34.00,TRUE,FALSE,−83.28.00
123,Bob,1176.44.00,508.53.00,1177.03.00,−837.05.00,1119.32.00,mustard silt,−1174.02.00,−832.22.00,6104.58.00,−90519.16.00,FALSE,FALSE,−256.05.00
124,Atsuto,1488.32.00,−46.44.00,1186.41.00,−1037.07.00,−769.05.00,surströmming,−1611.19.00,1266.37.00,7085.13.00,−90243.00.00,FALSE,FALSE,347.31.00
125,Bob,1508.58.00,−1391.27.00,1479.05.00,−359.45.00,−62.59.00,surströmming,−1580.23.00,−349.31.00,6173.59.00,−89290.59.00,FALSE,FALSE,1515.40.00
126,Bob,356.34.00,1358.53.00,1908.26.00,−176.51.00,1323.53.00,mustard silt,−1582.04.00,905.31.00,6443.38.00,−90147.19.00,TRUE,FALSE,−89.32.00
127,Atsuto,142.39.00,−254.22.00,1524.11.00,−1745.24.00,−1225.52.00,surströmming,−711.49.00,583.38.00,6810.01.00,−90306.02.00,TRUE,FALSE,681.44.00
128,Atsuto,776.56.00,−1052.40.00,2070.32.00,−1417.21.00,−983.20.00,surströmming,−365.18.00,1553.38.00,6862.44.00,−90115.49.00,FALSE,FALSE,1021.59.00
129,Atsuto,1250.52.00,−1312.32.00,1839.38.00,−1655.25.00,−1555.02.00,surströmming,356.24.00,−577.57.00,6466.55.00,−90843.19.00,TRUE,FALSE,1283.14.00
130,Atsuto,280.49.00,−288.53.00,2499.29.00,−1440.31.00,−635.33.00,mustard silt,−507.22.00,−480.30.00,5743.26.00,−89980.21.00,TRUE,FALSE,1415.35.00
131,Bob,732.28.00,−1316.54.00,1795.56.00,−331.05.00,−1564.38.00,surströmming,−583.37.00,568.25.00,6495.49.00,−89190.34.00,TRUE,FALSE,326.30.00
132,Jorg,765.35.00,842.09.00,2643.59.00,−1531.03.00,187.04.00,mustard silt,1514.30.00,1516.45.00,5924.00.00,−89346.55.00,TRUE,FALSE,−925.12.00
133,Bob,953.17.00,−931.24.00,1142.05.00,−1477.44.00,−383.26.00,curry silt,688.05.00,569.03.00,6001.28.00,−89729.14.00,TRUE,FALSE,213.38.00
134,Jorg,235.28.00,−131.34.00,2373.44.00,−172.52.00,−622.35.00,surströmming,−1389.36.00,−591.58.00,6501.42.00,−90560.37.00,TRUE,FALSE,750.09.00
135,Jorg,647.46.00,1181.32.00,1149.01.00,−871.47.00,933.42.00,mustard silt,1521.46.00,810.39.00,6014.15.00,−89663.48.00,FALSE,FALSE,−67.27.00
136,Jorg,73.59.00,79.19.00,1123.45.00,−1440.41.00,174.29.00,mustard silt,−1355.13.00,200.43.00,6267.21.00,−89794.14.00,TRUE,FALSE,1212.44.00
137,Bob,461.24.00,−520.01.00,2555.23.00,−544.19.00,−1144.01.00,surströmming,−1489.11.00,476.09.00,6764.39.00,−89410.43.00,TRUE,FALSE,478.25.00
138,Jorg,211.33.00,−435.58.00,2503.05.00,−983.21.00,−959.09.00,mustard silt,−1402.56.00,677.07.00,6069.35.00,−89886.45.00,FALSE,FALSE,1284.44.00
139,Bob,1501.49.00,97.56.00,1519.10.00,−1636.08.00,215.28.00,mustard silt,106.48.00,−1069.56.00,5875.40.00,−89724.54.00,TRUE,FALSE,−487.22.00
140,Jorg,1530.05.00,80.24.00,2016.00.00,−417.17.00,176.53.00,silt med schnapps,−1408.27.00,−911.50.00,6060.16.00,−89352.03.00,TRUE,FALSE,−1324.23.00
141,Bob,−601.49.00,665.10.00,1492.57.00,−313.00.00,130.50.00,mustard silt,1181.37.00,−982.10.00,5622.14.00,−89237.29.00,TRUE,FALSE,−1578.24.00
142,Jorg,−1055.07.00,1054.55.00,2452.41.00,−978.25.00,988.16.00,mustard silt,942.13.00,243.51.00,6220.15.00,−89872.41.00,FALSE,FALSE,−443.49.00
143,Bob,−742.48.00,633.39.00,2599.41.00,−1545.08.00,61.30.00,mustard silt,701.56.00,−854.41.00,5847.17.00,−90483.17.00,TRUE,FALSE,−1410.56.00
144,Jorg,−1169.50.00,542.00.00,2026.49.00,−316.11.00,1525.32.00,mustard silt,−1383.13.00,−1559.22.00,5524.17.00,−89837.53.00,TRUE,FALSE,−1395.53.00
145,Bob,1310.16.00,565.02.00,1646.46.00,−547.20.00,1243.05.00,mustard silt,−881.50.00,501.06.00,6248.22.00,−89204.24.00,FALSE,FALSE,−1672.42.00
146,Atsuto,1041.26.00,−946.26.00,2124.32.00,−1705.37.00,−416.30.00,surströmming,452.52.00,958.52.00,6188.57.00,−89697.06.00,TRUE,FALSE,948.39.00
147,Atsuto,276.56.00,1341.25.00,1866.53.00,−218.14.00,1285.27.00,mustard silt,982.47.00,−358.48.00,1193.11.00,−89835.13.00,TRUE,FALSE,−761.11.00
148,Bob,1545.15.00,114.12.00,2118.29.00,−1355.23.00,251.15.00,mustard silt,926.24.00,−114.30.00,7089.51.00,−89267.49.00,TRUE,FALSE,−514.48.00
