,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1014,368.02.00,1622.00.00,2441.07.00,−921.39.00,237.03.00,mustard silt,−740.00.00,−1101.23.00,7101.54.00,−90341.04.00,FALSE,FALSE,−916.07.00
1015,667.56.00,1012.04.00,2498.52.00,−208.04.00,560.52.00,mustard silt,1114.23.00,164.00.00,6420.29.00,−89261.02.00,TRUE,FALSE,−882.30.00
1016,1259.10.00,−1104.28.00,1226.59.00,−1420.56.00,−1097.18.00,surströmming,1140.03.00,1414.40.00,7123.48.00,−90727.07.00,FALSE,FALSE,559.08.00
1017,608.25.00,952.36.00,2253.26.00,−1148.34.00,430.03.00,mustard silt,−411.15.00,−1642.37.00,6548.36.00,−89356.46.00,FALSE,FALSE,−650.22.00
1018,−275.12.00,342.58.00,1936.26.00,−1729.13.00,1087.41.00,mustard silt,337.45.00,−401.03.00,6451.47.00,−89446.20.00,TRUE,FALSE,−1681.56.00
1019,1588.46.00,−1385.26.00,2025.46.00,−1760.43.00,−1382.18.00,surströmming,67.57.00,492.40.00,5634.40.00,−89709.19.00,TRUE,FALSE,1614.49.00
1020,43.19.00,1300.23.00,1304.09.00,−403.47.00,1195.10.00,mexicansk silt,−1146.27.00,316.41.00,6798.56.00,−90304.06.00,TRUE,FALSE,−1063.45.00
1021,1185.20.00,−1288.43.00,2260.53.00,−385.55.00,−1169.30.00,surströmming,−615.12.00,−1519.14.00,5892.26.00,−89517.30.00,TRUE,FALSE,1548.59.00
1022,126.19.00,−123.56.00,1924.36.00,−262.15.00,−272.39.00,surströmming,−944.13.00,−428.57.00,5999.38.00,−89493.55.00,TRUE,FALSE,65.39.00
1023,46.35.00,191.30.00,1540.32.00,−149.46.00,754.26.00,mustard silt,−829.58.00,−576.56.00,6069.28.00,−89437.30.00,TRUE,FALSE,−782.10.00
1024,−1228.36.00,591.53.00,1227.36.00,−170.37.00,302.45.00,mustard silt,−1244.09.00,36.14.00,6908.02.00,−90576.47.00,TRUE,FALSE,−1402.29.00
1025,750.10.00,706.39.00,2648.46.00,−765.01.00,1554.39.00,mustard silt,−645.48.00,−158.17.00,6095.52.00,−89285.29.00,FALSE,FALSE,−27.41.00
1026,1628.54.00,−338.12.00,2176.57.00,−676.05.00,−1410.18.00,surströmming,718.55.00,−07.27.00,6272.10.00,−90047.28.00,TRUE,FALSE,365.39.00
1027,849.23.00,−1097.11.00,1763.17.00,−1673.08.00,−1081.15.00,surströmming,513.41.00,−1185.10.00,6219.44.00,−89634.58.00,TRUE,FALSE,1159.09.00
1028,589.57.00,−507.49.00,1573.45.00,−197.42.00,−1117.13.00,surströmming,834.54.00,502.55.00,6972.17.00,−90477.19.00,TRUE,FALSE,1418.13.00
1029,−113.08.00,36.08.00,1488.38.00,−1548.57.00,412.37.00,mustard silt,255.16.00,683.49.00,6451.15.00,−89666.07.00,TRUE,FALSE,−465.32.00
1030,598.27.00,−93.29.00,1619.28.00,−366.42.00,−205.39.00,surströmming,−1028.54.00,−1664.52.00,5507.53.00,−90317.52.00,TRUE,FALSE,200.33.00
1031,332.14.00,−392.28.00,2359.15.00,−921.43.00,−1196.34.00,surströmming,1425.58.00,−204.45.00,6383.56.00,−89992.51.00,FALSE,FALSE,584.45.00
1032,306.39.00,−277.51.00,1300.21.00,−1209.44.00,−611.16.00,mustard silt,572.51.00,498.06.00,5509.45.00,−89819.14.00,FALSE,FALSE,1274.55.00
1033,1021.29.00,859.27.00,1936.08.00,−1409.59.00,225.08.00,mustard silt,−733.23.00,−403.26.00,6838.45.00,−89375.36.00,TRUE,FALSE,−143.42.00
1034,1257.07.00,432.51.00,1998.30.00,−1673.18.00,952.16.00,mustard silt,426.51.00,954.33.00,6995.30.00,−90632.18.00,TRUE,FALSE,−1655.51.00
1035,1025.01.00,293.43.00,2199.15.00,−1001.11.00,646.11.00,mustard silt,−935.23.00,−1222.31.00,5845.43.00,−90453.40.00,FALSE,FALSE,−1501.00.00
1036,1129.41.00,634.32.00,2544.33.00,−1344.39.00,1395.59.00,mustard silt,121.17.00,274.30.00,7100.47.00,−90619.06.00,TRUE,FALSE,−1092.02.00
1037,1382.51.00,−174.41.00,2589.55.00,−943.38.00,−717.26.00,surströmming,−1047.30.00,−79.19.00,6999.47.00,−90450.01.00,FALSE,FALSE,1594.47.00
1038,148.08.00,−275.23.00,2506.09.00,−1237.16.00,−938.58.00,surströmming,454.42.00,−470.15.00,6939.43.00,−89541.11.00,FALSE,FALSE,1447.02.00
1039,−89.46.00,1546.28.00,1840.48.00,−1763.43.00,404.03.00,mustard silt,−1174.04.00,159.11.00,6766.30.00,−90346.57.00,TRUE,FALSE,−786.40.00
1040,1318.52.00,−1353.12.00,1967.01.00,−167.16.00,−1311.21.00,surströmming,23.50,1259.45.00,5714.18.00,−90133.42.00,TRUE,FALSE,1415.35.00
1041,1098.01.00,693.55.00,1643.06.00,−1640.47.00,1526.36.00,old-fashioned silt,−1626.47.00,−903.16.00,5803.55.00,−90285.13.00,TRUE,FALSE,−1460.40.00
1042,948.33.00,822.24.00,2399.38.00,−1563.10.00,143.37.00,mustard silt,−1072.51.00,−444.04.00,6779.34.00,−90123.05.00,TRUE,FALSE,−226.50.00
1043,869.51.00,−931.03.00,1539.23.00,−282.03.00,−382.39.00,surströmming,−06.44.00,153.21.00,6727.49.00,−89233.03.00,TRUE,FALSE,404.50.00
1044,846.45.00,−722.13.00,1641.08.00,−411.01.00,−1588.52.00,surströmming,965.16.00,−900.40.00,6324.49.00,−90099.20.00,TRUE,FALSE,966.14.00
1045,−393.34.00,223.14.00,1508.14.00,−201.23.00,824.15.00,mustard silt,−319.30.00,464.20.00,6205.38.00,−90745.31.00,TRUE,FALSE,−1152.18.00
1046,1428.44.00,−81.22.00,1395.40.00,−1588.22.00,−845.15.00,surströmming,956.39.00,177.42.00,6897.00.00,−89462.51.00,TRUE,FALSE,793.26.00
1047,−647.54.00,402.50.00,2222.45.00,−1185.58.00,1552.30.00,mustard silt,−1492.51.00,−592.20.00,6823.40.00,−90523.58.00,TRUE,FALSE,−185.37.00
1048,1616.24.00,−1346.14.00,2588.25.00,−959.53.00,−1629.12.00,surströmming,57.16.00,190.36.00,6334.51.00,−89750.14.00,FALSE,FALSE,1611.58.00
1049,95.24.00,−457.32.00,2245.26.00,−982.33.00,−07.11.00,surströmming,−325.31.00,−736.50.00,6297.04.00,−90634.39.00,FALSE,FALSE,346.07.00
1050,−354.06.00,171.15.00,2201.47.00,−1358.30.00,709.53.00,mustard silt,472.33.00,487.19.00,6066.54.00,−90052.37.00,TRUE,FALSE,−497.17.00
1051,1397.54.00,481.41.00,1025.42.00,−1182.42.00,1059.42.00,mustard silt,720.54.00,−242.53.00,5783.23.00,−89815.49.00,FALSE,FALSE,−932.51.00
1052,583.42.00,649.45.00,1961.43.00,−337.40.00,1429.26.00,old-fashioned silt,804.36.00,280.06.00,6498.15.00,−90332.39.00,TRUE,FALSE,−365.44.00
1053,1593.51.00,−1586.27.00,2072.35.00,−1436.10.00,−158.52.00,surströmming,−203.54.00,868.00.00,6069.13.00,−89535.34.00,FALSE,FALSE,226.23.00
1054,−336.42.00,758.45.00,1752.32.00,−291.14.00,669.51.00,mustard silt,932.29.00,−292.56.00,5712.34.00,−89979.48.00,TRUE,FALSE,−1517.42.00
1055,51.34.00,27.36.00,2573.12.00,−1205.23.00,393.52.00,mustard silt,1254.21.00,1424.19.00,5677.05.00,−90364.52.00,TRUE,FALSE,−1682.18.00
1056,−90.42.00,406.10.00,1989.21.00,−1764.29.00,1226.43.00,mustard silt,−650.08.00,772.24.00,5483.18.00,−90020.00.00,TRUE,FALSE,−759.18.00
1057,1195.09.00,757.17.00,1817.11.00,−1684.20.00,1666.02.00,mustard silt,−581.59.00,983.36.00,6670.23.00,−89812.16.00,TRUE,FALSE,−1513.51.00
1058,1348.42.00,−66.49.00,2283.23.00,−1378.44.00,−480.08.00,surströmming,−351.43.00,1263.52.00,6402.09.00,−90448.08.00,FALSE,FALSE,1400.16.00
1059,239.27.00,53.56.00,1247.47.00,−950.29.00,118.39.00,mustard silt,−854.34.00,−1577.30.00,7027.34.00,−90481.24.00,FALSE,FALSE,1219.46.00
1060,1138.30.00,−1479.44.00,1022.55.00,−1688.29.00,−1589.45.00,surströmming,−1427.05.00,1293.21.00,6713.35.00,−90306.05.00,TRUE,FALSE,1086.35.00
1061,402.23.00,−544.14.00,2665.49.00,−1439.56.00,−1530.28.00,surströmming,1637.28.00,656.35.00,6940.32.00,−89665.50.00,FALSE,FALSE,913.42.00
1062,1551.30.00,−14.55.00,1297.47.00,−1721.42.00,−32.49.00,mustard silt,−468.16.00,−47.24.00,5941.17.00,−90557.01.00,TRUE,FALSE,−1445.02.00
1063,210.26.00,1531.41.00,1668.17.00,−1515.22.00,38.23.00,mustard silt,821.53.00,−1213.27.00,6326.40.00,−90332.16.00,TRUE,FALSE,−1686.54.00
1064,646.11.00,666.25.00,2137.33.00,−1482.05.00,1466.07.00,mustard silt,356.58.00,−785.09.00,7039.08.00,−89348.31.00,TRUE,FALSE,−485.48.00
1065,299.52.00,1416.07.00,1161.26.00,−1180.52.00,1449.47.00,mustard silt,−42.42.00,604.00.00,6514.04.00,−90429.21.00,TRUE,FALSE,−799.54.00
1066,807.19.00,−1138.52.00,1384.15.00,−645.40.00,−1172.59.00,surströmming,486.48.00,−961.30.00,6241.15.00,−90092.04.00,TRUE,FALSE,531.48.00
1067,243.32.00,1270.17.00,2524.42.00,−1334.09.00,1128.57.00,mustard silt,543.16.00,−410.33.00,6279.31.00,−89766.17.00,TRUE,FALSE,−436.29.00
1068,106.58.00,−108.00.00,1565.06.00,−980.02.00,−237.36.00,surströmming,−142.18.00,556.08.00,5890.37.00,−90391.50.00,TRUE,FALSE,583.33.00
1069,1538.17.00,−18.40.00,1289.31.00,−886.53.00,−41.04.00,mustard silt,−300.20.00,−1490.57.00,5964.20.00,−89188.05.00,FALSE,FALSE,−444.35.00
1070,−23.35.00,1585.30.00,1292.45.00,−1224.28.00,156.46.00,mustard silt,−543.19.00,376.23.00,6116.49.00,−89417.53.00,TRUE,FALSE,−249.57.00
1071,664.50.00,−598.59.00,1225.01.00,−842.02.00,−1317.45.00,mustard silt,456.12.00,−794.26.00,7003.33.00,−90285.04.00,FALSE,FALSE,823.37.00
1072,771.17.00,1045.11.00,1064.48.00,−779.46.00,633.44.00,mustard silt,−881.26.00,−1350.36.00,7131.57.00,−90733.17.00,FALSE,FALSE,−596.21.00
1073,−1651.07.00,1209.38.00,1276.19.00,−1005.29.00,1328.40.00,mustard silt,−780.54.00,−854.05.00,6221.12.00,−89380.27.00,TRUE,FALSE,−1682.50.00
1074,1342.46.00,323.09.00,1541.26.00,−490.16.00,710.56.00,surströmming,−796.35.00,−22.18.00,6717.52.00,−89880.22.00,TRUE,FALSE,−932.59.00
1075,536.05.00,−418.42.00,1317.06.00,−1270.31.00,−921.09.00,mustard silt,80.01.00,714.47.00,6648.20.00,−90831.42.00,FALSE,FALSE,1094.47.00
1076,1166.28.00,−1141.19.00,1994.51.00,−1621.58.00,−845.14.00,surströmming,−1337.48.00,−606.46.00,6678.26.00,−89746.56.00,TRUE,FALSE,472.41.00
1077,914.17.00,604.13.00,1632.00.00,−1754.08.00,1329.17.00,mexicansk silt,−10.22.00,−474.22.00,6909.25.00,−90664.53.00,TRUE,FALSE,−658.50.00
1078,1442.31.00,−75.27.00,1574.06.00,−199.15.00,−165.59.00,surströmming,683.21.00,−481.00.00,6377.32.00,−89400.07.00,TRUE,FALSE,−926.13.00
1079,−583.24.00,1004.59.00,1119.57.00,−1602.43.00,878.26.00,mustard silt,−139.16.00,529.26.00,6118.57.00,−90427.55.00,TRUE,FALSE,−1676.37.00
1080,678.52.00,−495.56.00,1158.49.00,−1400.22.00,−1091.04.00,mustard silt,710.13.00,980.40.00,5479.05.00,−90347.04.00,TRUE,FALSE,1492.28.00
1081,−113.09.00,40.06.00,1220.34.00,−1272.36.00,421.21.00,mustard silt,−572.02.00,1371.26.00,6252.23.00,−90832.46.00,TRUE,FALSE,−1433.08.00
1082,−1360.24.00,1142.56.00,1191.20.00,−313.12.00,1181.55.00,mustard silt,−227.35.00,−182.22.00,6865.42.00,−89433.10.00,TRUE,FALSE,−1347.27.00
1083,197.30.00,−183.37.00,2547.38.00,−1334.57.00,−403.58.00,mustard silt,1490.50.00,216.26.00,6512.03.00,−89771.18.00,TRUE,FALSE,605.06.00
1084,920.06.00,−1114.09.00,2147.16.00,−1590.44.00,−1118.36.00,surströmming,−482.38.00,−136.15.00,6969.26.00,−89971.22.00,FALSE,FALSE,1555.26.00
1085,266.47.00,887.05.00,1464.35.00,−420.09.00,285.55.00,mustard silt,1387.37.00,−955.55.00,6530.33.00,−90687.13.00,FALSE,FALSE,−637.06.00
1086,667.41.00,1236.12.00,2202.30.00,−1092.25.00,1053.59.00,mustard silt,−1132.15.00,1533.16.00,6133.13.00,−89603.18.00,FALSE,FALSE,−1043.18.00
1087,1019.55.00,755.58.00,2026.49.00,−1588.05.00,1663.07.00,mustard silt,323.35.00,−1059.06.00,6178.08.00,−89351.32.00,TRUE,FALSE,−176.34.00
1088,116.10.00,−1386.46.00,1904.49.00,−1630.44.00,−1385.14.00,surströmming,92.59.00,291.42.00,6349.19.00,−90665.23.00,TRUE,FALSE,1213.25.00
1089,1127.50.00,373.35.00,1616.27.00,−1677.24.00,821.52.00,curry silt,1604.05.00,−1222.59.00,5767.49.00,−89224.56.00,TRUE,FALSE,−1648.38.00
1090,862.24.00,−1019.03.00,2460.31.00,−1286.05.00,−576.15.00,silt med onions,95.20.00,842.54.00,6090.20.00,−89858.40.00,FALSE,FALSE,493.08.00
1091,1289.48.00,−1368.36.00,2403.54.00,−1691.37.00,−1345.14.00,surströmming,−748.00.00,1051.26.00,5658.14.00,−89516.53.00,TRUE,FALSE,180.44.00
1092,1399.16.00,−1533.50.00,2158.04.00,−300.48.00,−43.05.00,surströmming,−214.40.00,699.12.00,6537.41.00,−89659.58.00,TRUE,FALSE,534.31.00
1093,203.44.00,−238.46.00,1742.58.00,−1264.55.00,−525.17.00,mustard silt,−448.20.00,−660.35.00,7052.27.00,−90175.29.00,TRUE,FALSE,1346.57.00
1094,208.10.00,1363.25.00,1059.27.00,−396.49.00,1333.51.00,mustard silt,−143.42.00,−511.19.00,6965.53.00,−89964.34.00,TRUE,FALSE,−438.31.00
1095,111.08.00,44.46.00,1722.47.00,−1478.13.00,98.29.00,curry silt,−1107.11.00,−1169.07.00,6128.40.00,−89227.20.00,TRUE,FALSE,871.20.00
1096,36.46.00,1618.35.00,1216.04.00,−1477.33.00,229.32.00,mustard silt,865.48.00,470.00.00,6363.31.00,−89588.27.00,TRUE,FALSE,−601.52.00
1097,−480.24.00,507.23.00,1132.28.00,−777.29.00,1449.23.00,mustard silt,1212.36.00,−332.38.00,6591.39.00,−90467.34.00,FALSE,FALSE,−1517.27.00
1098,−436.18.00,466.20.00,1400.42.00,−519.15.00,26.32.00,mustard silt,−1175.02.00,217.34.00,5976.39.00,−90631.11.00,FALSE,FALSE,−844.07.00
1099,−170.33.00,360.59.00,1166.08.00,−1414.26.00,1127.18.00,mustard silt,−352.09.00,−1430.20.00,6564.13.00,−90215.46.00,TRUE,FALSE,−999.12.00
1100,1196.35.00,172.58.00,1226.37.00,−215.35.00,380.31.00,surströmming,147.02.00,1568.43.00,6286.56.00,−89227.08.00,TRUE,FALSE,−71.52.00
1101,1262.01.00,−1400.27.00,1235.22.00,−465.33.00,−1415.20.00,surströmming,−05.41.00,1150.53.00,6662.49.00,−89380.25.00,TRUE,FALSE,1539.03.00
1102,1213.37.00,−07.00.00,1526.19.00,−919.38.00,−348.33.00,old-fashioned silt,612.27.00,1047.23.00,6160.36.00,−90639.10.00,FALSE,FALSE,96.51.00
1103,457.37.00,−393.27.00,1700.16.00,−713.40.00,−865.34.00,mustard silt,1375.21.00,−1141.19.00,6044.43.00,−90344.16.00,FALSE,FALSE,694.32.00
1104,536.51.00,1295.54.00,1635.49.00,−447.21.00,1185.20.00,mustard silt,−575.51.00,110.07.00,6596.24.00,−90632.39.00,FALSE,FALSE,−373.12.00
1105,−42.10.00,1617.31.00,1813.46.00,−177.55.00,560.20.00,mustard silt,−370.00.00,1552.22.00,5990.04.00,−89927.24.00,TRUE,FALSE,−1751.10.00
1106,877.01.00,−981.34.00,2451.36.00,−1383.56.00,−493.47.00,silt med onions,−1194.06.00,644.36.00,5500.26.00,−89431.08.00,FALSE,FALSE,1219.32.00
1107,57.06.00,−348.57.00,2204.49.00,−295.37.00,−1100.50.00,surströmming,1086.53.00,−1061.08.00,6445.22.00,−90198.26.00,TRUE,FALSE,76.09.00
1108,433.50.00,−551.35.00,1473.57.00,−1495.21.00,−1213.28.00,mustard silt,−837.57.00,507.13.00,5967.34.00,−90595.10.00,TRUE,FALSE,1058.08.00
1109,188.47.00,−39.03.00,1017.48.00,−1562.04.00,−85.55.00,mustard silt,759.38.00,33.11.00,5942.16.00,−89594.22.00,TRUE,FALSE,236.46.00
1110,722.23.00,1270.16.00,2386.15.00,−1335.35.00,1128.56.00,mustard silt,−350.06.00,−757.33.00,6903.28.00,−89814.05.00,TRUE,FALSE,−1548.24.00
1111,1259.18.00,291.23.00,1228.03.00,−1362.10.00,641.02.00,mustard silt,324.35.00,−976.27.00,6363.28.00,−89301.23.00,TRUE,FALSE,−1099.06.00
1112,926.10.00,−1029.05.00,1047.42.00,−1084.52.00,−598.20.00,old-fashioned silt,12.51,−1602.24.00,6141.56.00,−90507.03.00,FALSE,FALSE,476.31.00
1113,902.42.00,1217.33.00,2018.52.00,−112.46.00,1012.57.00,mustard silt,356.17.00,−270.24.00,5966.35.00,−90127.56.00,TRUE,FALSE,−1044.22.00
1114,740.12.00,−577.00.00,2168.03.00,−1555.47.00,−1269.25.00,silt med schnapps,323.00.00,−1477.09.00,5830.07.00,−89334.49.00,TRUE,FALSE,899.40.00
1115,636.57.00,977.02.00,1253.11.00,−260.17.00,483.48.00,curry silt,1058.46.00,1133.37.00,6983.40.00,−89773.12.00,TRUE,FALSE,−1389.38.00
1116,−651.51.00,452.10.00,2185.12.00,−1567.37.00,1661.02.00,mustard silt,−478.36.00,−1422.32.00,5908.54.00,−90213.40.00,TRUE,FALSE,−402.21.00
1117,671.55.00,−511.39.00,2209.06.00,−1271.47.00,−1125.39.00,mexicansk silt,−313.06.00,887.40.00,7103.18.00,−90660.25.00,FALSE,FALSE,837.18.00
1118,954.17.00,908.05.00,1419.24.00,−413.16.00,332.06.00,curry silt,906.02.00,−1508.48.00,6101.05.00,−90625.46.00,TRUE,FALSE,−430.05.00
1119,588.29.00,847.49.00,1069.50.00,−1682.48.00,199.33.00,mustard silt,−34.51.00,−587.53.00,5773.12.00,−89885.06.00,TRUE,FALSE,−1405.39.00
1120,1412.17.00,−1122.00.00,1239.02.00,−766.41.00,−802.45.00,mustard silt,−38.18.00,697.19.00,5910.21.00,−90401.11.00,FALSE,FALSE,1558.46.00
1121,1191.42.00,−593.11.00,1051.37.00,−1568.51.00,−1305.01.00,mexicansk silt,1639.54.00,−470.44.00,7074.46.00,−89506.22.00,TRUE,FALSE,429.20.00
1122,123.53.00,1399.57.00,1749.10.00,−154.57.00,1414.14.00,mustard silt,−435.38.00,929.54.00,6980.55.00,−90557.28.00,TRUE,FALSE,−143.54.00
1123,−904.57.00,1001.00.00,2022.40.00,−1532.10.00,869.39.00,mustard silt,−254.54.00,−524.34.00,6916.41.00,−89208.49.00,TRUE,FALSE,−1478.38.00
1124,242.29.00,−192.26.00,1131.22.00,−803.28.00,−756.30.00,silt med onions,1578.45.00,−1147.13.00,6103.11.00,−89843.45.00,FALSE,FALSE,1312.39.00
1125,1489.58.00,132.22.00,2009.09.00,−471.48.00,291.13.00,silt med schnapps,821.50.00,17.25,6415.36.00,−90409.50.00,TRUE,FALSE,−1668.08.00
1126,92.17.00,−481.31.00,1748.21.00,−229.42.00,−1059.21.00,surströmming,26.37.00,959.32.00,6102.25.00,−90838.19.00,TRUE,FALSE,1607.11.00
1127,1639.10.00,272.59.00,2118.22.00,−1379.20.00,600.34.00,mustard silt,281.06.00,−1180.36.00,5877.42.00,−89946.38.00,TRUE,FALSE,−815.42.00
1128,928.00.00,−629.45.00,1642.36.00,−564.44.00,−1385.26.00,surströmming,−1124.50.00,759.29.00,6262.14.00,−90658.08.00,TRUE,FALSE,32.36.00
1129,−813.38.00,458.12.00,1274.10.00,−1209.40.00,1341.09.00,mustard silt,732.14.00,300.34.00,6982.33.00,−89386.17.00,TRUE,FALSE,−1451.46.00
1130,49.09.00,−106.53.00,1238.30.00,−1243.09.00,−235.08.00,mustard silt,−808.09.00,870.51.00,5842.01.00,−90676.28.00,FALSE,FALSE,28.35.00
1131,−92.31.00,365.37.00,2661.54.00,−1252.34.00,1137.30.00,mustard silt,1490.48.00,1429.40.00,5658.52.00,−90102.15.00,TRUE,FALSE,−513.38.00
1132,424.58.00,18.17,1493.04.00,−483.24.00,373.21.00,mustard silt,1112.59.00,376.33.00,6516.21.00,−90696.42.00,TRUE,FALSE,−208.28.00
1133,−146.29.00,1459.48.00,1746.29.00,−1516.30.00,1545.53.00,mustard silt,713.24.00,−84.08.00,7069.00.00,−89716.36.00,TRUE,FALSE,−338.09.00
1134,916.25.00,775.35.00,2426.11.00,−997.53.00,40.38.00,mustard silt,−695.47.00,805.13.00,5810.09.00,−89369.12.00,FALSE,FALSE,−154.28.00
1135,−193.20.00,113.32.00,1380.37.00,−1400.49.00,582.55.00,mustard silt,381.16.00,1510.52.00,6343.04.00,−90207.20.00,TRUE,FALSE,−365.28.00
1136,377.58.00,1202.04.00,2500.04.00,−998.55.00,978.52.00,mustard silt,−21.56.00,−832.47.00,6678.56.00,−89956.10.00,FALSE,FALSE,−389.26.00
1137,1414.08.00,−1221.25.00,1662.12.00,−110.48.00,−1354.36.00,surströmming,−825.51.00,908.03.00,6894.23.00,−90489.18.00,TRUE,FALSE,1029.22.00
1138,294.25.00,−36.20.00,2626.23.00,−1067.17.00,−79.56.00,mustard silt,−220.22.00,1380.09.00,5961.59.00,−90125.36.00,FALSE,FALSE,492.58.00
1139,284.19.00,1288.16.00,2093.15.00,−1340.21.00,1168.32.00,mustard silt,−1096.00.00,1068.04.00,6321.09.00,−89423.12.00,TRUE,FALSE,−278.43.00
1140,151.53.00,−375.33.00,2195.45.00,−267.01.00,−826.12.00,surströmming,−306.35.00,−608.40.00,6019.39.00,−90430.02.00,TRUE,FALSE,1479.33.00
1141,1531.50.00,−24.57.00,2445.22.00,−1543.06.00,−54.54.00,mustard silt,632.14.00,−527.38.00,6102.15.00,−90618.27.00,TRUE,FALSE,−1021.52.00
1142,669.51.00,894.35.00,2588.24.00,−1508.55.00,302.25.00,mustard silt,−1435.18.00,655.39.00,5481.46.00,−90645.34.00,TRUE,FALSE,−741.55.00
1143,1192.40.00,−1278.58.00,1445.49.00,−111.15.00,−1148.04.00,silt med schnapps,479.43.00,−498.26.00,5524.34.00,−90105.00.00,TRUE,FALSE,674.45.00
1144,582.11.00,−457.37.00,1299.02.00,−1037.25.00,−1339.53.00,surströmming,−563.46.00,−573.39.00,5605.04.00,−90204.29.00,FALSE,FALSE,1725.31.00
1145,1002.59.00,502.04.00,1372.39.00,−1198.31.00,1104.32.00,mustard silt,1592.05.00,−57.43.00,5525.54.00,−90820.01.00,TRUE,FALSE,−517.35.00
1146,1206.41.00,−622.03.00,2035.47.00,−1612.08.00,−1368.30.00,surströmming,1206.05.00,05.57,5690.53.00,−90365.08.00,TRUE,FALSE,837.45.00
1147,1065.34.00,−940.04.00,1763.33.00,−214.54.00,−402.29.00,surströmming,−388.44.00,−27.38.00,5623.55.00,−89694.20.00,TRUE,FALSE,308.25.00
1148,1429.42.00,−403.33.00,1751.48.00,−293.36.00,−1220.57.00,surströmming,−814.21.00,1549.20.00,6882.26.00,−90299.11.00,TRUE,FALSE,187.18.00
1149,1526.28.00,30.13.00,2643.44.00,−1435.59.00,66.28.00,mustard silt,−103.25.00,1007.50.00,5517.11.00,−90574.54.00,TRUE,FALSE,−1191.09.00
1150,−338.25.00,199.25.00,2035.11.00,−1303.41.00,771.51.00,mustard silt,823.44.00,−1627.37.00,6156.33.00,−89431.40.00,TRUE,FALSE,−629.02.00
1151,1643.28.00,−33.14.00,2291.22.00,−1645.38.00,−406.15.00,surströmming,1336.57.00,1567.17.00,5651.50.00,−89833.32.00,TRUE,FALSE,1151.27.00
1152,−176.10.00,652.25.00,2484.44.00,−1248.17.00,769.03.00,mustard silt,417.11.00,1422.02.00,5739.24.00,−90178.32.00,TRUE,FALSE,−1453.10.00
1153,544.08.00,985.07.00,2652.02.00,−741.04.00,501.35.00,mustard silt,−99.41.00,1503.13.00,6580.52.00,−90229.05.00,FALSE,FALSE,−333.21.00
1154,1322.35.00,227.16.00,1263.15.00,−485.16.00,500.00.00,surströmming,715.57.00,−600.51.00,6483.16.00,−89412.58.00,TRUE,FALSE,−415.30.00
1155,1398.55.00,−1080.38.00,2360.38.00,−1286.24.00,−711.45.00,silt med schnapps,−854.20.00,−1496.07.00,7109.26.00,−90136.52.00,FALSE,FALSE,617.50.00
